index,return
2026-07-12 10:24:00+00:00,0.0
2026-07-12 10:25:00+00:00,0.0
2026-07-12 10:26:00+00:00,0.0
2026-07-12 10:27:00+00:00,0.0
2026-07-12 10:28:00+00:00,0.0
2026-07-12 10:29:00+00:00,0.0
2026-07-12 10:30:00+00:00,0.0
2026-07-12 10:31:00+00:00,0.0
2026-07-12 10:32:00+00:00,0.0
2026-07-12 10:33:00+00:00,0.0
2026-07-12 10:34:00+00:00,0.0
2026-07-12 10:35:00+00:00,0.0
2026-07-12 10:36:00+00:00,0.0
2026-07-12 10:37:00+00:00,0.0
2026-07-12 10:38:00+00:00,0.0
2026-07-12 10:39:00+00:00,0.0
2026-07-12 10:40:00+00:00,0.0
2026-07-12 10:41:00+00:00,0.0
2026-07-12 10:42:00+00:00,0.0
2026-07-12 10:43:00+00:00,0.0
2026-07-12 10:44:00+00:00,0.0
2026-07-12 10:45:00+00:00,0.0
2026-07-12 10:46:00+00:00,0.0
2026-07-12 10:47:00+00:00,0.0
2026-07-12 10:48:00+00:00,0.0
2026-07-12 10:49:00+00:00,0.0
2026-07-12 10:50:00+00:00,0.0
2026-07-12 10:51:00+00:00,0.0
2026-07-12 10:52:00+00:00,0.0
2026-07-12 10:53:00+00:00,0.0
2026-07-12 10:54:00+00:00,0.0
2026-07-12 10:55:00+00:00,0.0
2026-07-12 10:56:00+00:00,0.0
2026-07-12 10:57:00+00:00,0.0
2026-07-12 10:58:00+00:00,0.0
2026-07-12 10:59:00+00:00,0.0
2026-07-12 11:00:00+00:00,0.0
2026-07-12 11:01:00+00:00,0.0
2026-07-12 11:02:00+00:00,0.0
2026-07-12 11:03:00+00:00,0.0
2026-07-12 11:04:00+00:00,0.0
2026-07-12 11:05:00+00:00,0.0
2026-07-12 11:06:00+00:00,0.0
2026-07-12 11:07:00+00:00,0.0
2026-07-12 11:08:00+00:00,0.0
2026-07-12 11:09:00+00:00,0.0
2026-07-12 11:10:00+00:00,0.0
2026-07-12 11:11:00+00:00,0.0
2026-07-12 11:12:00+00:00,0.0
2026-07-12 11:13:00+00:00,0.0
2026-07-12 11:14:00+00:00,0.0
2026-07-12 11:15:00+00:00,0.0
2026-07-12 11:16:00+00:00,0.0
2026-07-12 11:17:00+00:00,0.0
2026-07-12 11:18:00+00:00,0.0
2026-07-12 11:19:00+00:00,0.0
2026-07-12 11:20:00+00:00,0.0
2026-07-12 11:21:00+00:00,0.0
2026-07-12 11:22:00+00:00,0.0
2026-07-12 11:23:00+00:00,0.0
2026-07-12 11:24:00+00:00,0.0
2026-07-12 11:25:00+00:00,0.0
2026-07-12 11:26:00+00:00,0.0
2026-07-12 11:27:00+00:00,0.0
2026-07-12 11:28:00+00:00,0.0
2026-07-12 11:29:00+00:00,0.0
2026-07-12 11:30:00+00:00,0.0
2026-07-12 11:31:00+00:00,0.0
2026-07-12 11:32:00+00:00,0.0
2026-07-12 11:33:00+00:00,0.0
2026-07-12 11:34:00+00:00,0.0
2026-07-12 11:35:00+00:00,0.0
2026-07-12 11:36:00+00:00,0.0
2026-07-12 11:37:00+00:00,0.0
